                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.54865,                 0.3555,                0.89901,                0.91364,                0.91575,                0.95267,                0.81012,                0.65504,                0.45562,                0.96663,             0.00016991,             0.00016991,             0.00016991
                     92,                 0.5468,                 0.3483,                0.89985,                0.89957,                0.91972,                0.95175,                0.81121,                0.65153,                0.46164,                0.96346,             0.00015576,             0.00015576,             0.00015576
                     93,                0.53734,                0.34041,                0.88969,                0.89873,                0.92784,                 0.9528,                0.81371,                0.64581,                  0.459,                0.95857,             0.00014161,             0.00014161,             0.00014161
                     94,                0.53456,                   0.34,                0.89226,                0.91246,                0.91682,                  0.953,                0.81508,                0.64666,                0.46065,                0.95702,             0.00012747,             0.00012747,             0.00012747
                     95,                0.53606,                0.33234,                0.89164,                0.90989,                0.91828,                0.95198,                0.81503,                0.64442,                 0.4546,                0.95979,             0.00011332,             0.00011332,             0.00011332
                     96,                0.52676,                 0.3288,                0.89033,                0.90719,                0.92606,                0.95224,                0.81376,                0.64611,                0.45815,                0.96258,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.52587,                0.32696,                0.88751,                0.91017,                0.91999,                0.95182,                0.81434,                0.64381,                0.46057,                 0.9633,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.52238,                0.32695,                0.88704,                0.91957,                0.91483,                0.95437,                0.81725,                0.64373,                0.45202,                0.96262,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.52352,                0.32584,                0.89096,                0.90269,                0.93172,                0.95278,                0.81628,                0.64419,                0.45047,                0.96276,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.51841,                0.32065,                 0.8869,                0.90957,                0.92215,                 0.9531,                0.81868,                0.64019,                0.45134,                0.96161,             4.2584e-05,             4.2584e-05,             4.2584e-05
